scorer,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000
bodyparts,P01,P01,P01,P02,P02,P02,P03,P03,P03
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
197,1193.940796,216.0368042,0.984220207,1121.787964,481.3244934,0.997081935,1097.849243,569.0389404,0.974920869
198,1193.940796,215.9270172,0.984512329,1121.787964,480.3076782,0.997306585,1099.254395,567.9210815,0.970165193
199,1194.928833,215.8856506,0.985630989,1126.346802,480.3076782,0.996546566,1104.37146,566.7528687,0.996040821
200,1195.941895,215.65271,0.986556828,1133.109497,480.3076782,0.99378407,1111.751587,563.821167,0.990119934
201,1197.221558,215.65271,0.986673474,1139.470581,480.746521,0.997295678,1122.277588,563.3114624,0.996143162
202,1199.668945,215.8734894,0.986102819,1149.358521,481.3673401,0.99547416,1134.355713,563.3114624,0.991783023
203,1201.749512,215.7909393,0.991689801,1158.655396,484.4706726,0.997803867,1146.99231,563.3114624,0.98237431
204,1204.187134,215.8734894,0.994664431,1168.528931,487.5083313,0.996739566,1160.018188,564.8726807,0.994118333
205,1205.703735,216.0116577,0.995128632,1181.411133,487.7460632,0.990809441,1172.945068,566.2996826,0.995682836
206,1208.328491,216.2241058,0.993099451,1191.387939,492.1419983,0.996580541,1188.281738,569.0492554,0.988775134
207,1210.343018,216.613739,0.987543941,1201.47168,495.3624878,0.997067988,1202.177856,572.9161377,0.960200906
208,1212.428955,216.613739,0.990326226,1210.790527,496.1920166,0.988130808,1216.193481,578.303894,0.98874855
209,1214.602905,216.613739,0.988192737,1220.373047,499.3706665,0.998496771,1226.577515,583.8796387,0.982192874
