frame,P01_Cam2_X,P01_Cam2_Y,P01_Cam3_X,P01_Cam3_Y,P02_Cam2_X,P02_Cam2_Y,P02_Cam3_X,P02_Cam3_Y,P03_Cam2_X,P03_Cam2_Y,P03_Cam3_X,P03_Cam3_Y
181,940.066,65.855,1220.226,215.069,991.533,402.966,1236.951,507.182,1012.673,512.019,1246.615,603.852
182,940.066,65.855,1220.226,215.107,991.533,404.650,1236.646,507.312,1012.673,512.265,1244.795,605.754
183,939.957,66.112,1219.446,215.771,991.193,405.592,1233.174,507.830,1009.701,519.391,1237.304,609.241
184,937.909,66.512,1218.318,216.209,984.816,407.649,1226.139,507.881,1003.467,523.819,1229.835,609.241
185,934.748,66.528,1215.415,217.084,975.454,410.923,1218.191,507.830,990.118,523.941,1217.757,609.241
186,934.740,66.618,1214.032,217.084,975.393,410.933,1208.490,507.830,990.081,524.394,1203.393,607.504
187,933.025,66.618,1211.751,217.084,963.100,413.349,1195.498,506.155,974.717,525.786,1190.335,603.366
188,929.230,66.774,1209.363,216.571,949.312,414.648,1183.664,505.947,956.424,529.376,1175.550,602.742
189,927.377,67.019,1207.467,216.418,934.055,415.358,1171.687,505.894,935.723,531.345,1160.116,600.598
190,923.591,67.019,1204.637,216.051,917.633,415.358,1161.469,503.081,913.801,531.345,1145.984,595.358
191,922.406,67.019,1202.866,216.051,900.668,415.358,1151.350,497.727,892.913,531.345,1131.643,591.866
192,916.423,67.019,1200.072,216.028,885.104,412.977,1140.183,496.159,871.951,530.140,1120.290,586.220
193,913.204,66.778,1197.795,216.028,871.767,410.059,1133.007,490.960,854.584,526.529,1110.138,582.644
194,910.939,65.496,1196.282,216.111,858.676,408.486,1126.928,490.553,839.174,524.041,1104.438,573.954
195,909.278,64.830,1194.298,216.111,848.151,405.084,1122.254,487.062,829.296,520.167,1097.849,573.439
196,908.153,63.827,1193.941,216.037,842.667,404.446,1121.788,483.401,823.171,515.698,1097.849,569.344
197,907.466,63.684,1193.941,216.037,838.468,402.299,1121.788,481.324,818.949,511.525,1097.849,569.039
198,907.466,63.684,1193.941,215.927,838.468,400.949,1121.788,480.308,818.949,509.821,1099.254,567.921
199,907.466,63.684,1194.929,215.886,838.468,400.943,1126.347,480.308,818.949,509.662,1104.371,566.753
200,907.816,63.789,1195.942,215.653,842.324,398.616,1133.109,480.308,822.884,508.926,1111.752,563.821
201,908.484,63.964,1197.222,215.653,848.473,398.616,1139.471,480.747,831.313,508.926,1122.278,563.311
202,909.762,64.900,1199.669,215.873,858.308,398.616,1149.359,481.367,841.450,508.926,1134.356,563.311
203,914.547,66.620,1201.750,215.791,883.467,398.620,1158.655,484.471,874.653,506.117,1146.992,563.311
204,914.583,66.841,1204.187,215.873,883.501,398.630,1168.529,487.508,874.919,502.322,1160.018,564.873
205,917.758,66.841,1205.704,216.012,898.807,399.914,1181.411,487.746,893.468,510.252,1172.945,566.300
206,922.229,66.620,1208.328,216.224,914.321,400.059,1191.388,492.142,915.020,510.305,1188.282,569.049
207,923.951,65.468,1210.343,216.614,930.071,400.059,1201.472,495.362,933.507,510.095,1202.178,572.916
208,927.323,65.468,1212.429,216.614,944.872,400.059,1210.791,496.192,952.224,510.095,1216.193,578.304
209,930.699,65.468,1214.603,216.614,958.502,400.076,1220.373,499.371,971.899,510.095,1226.578,583.880
210,933.576,65.544,1216.390,215.552,970.364,400.076,1228.655,500.285,990.797,510.040,1233.876,590.237
211,937.364,65.560,1217.158,215.345,981.675,400.310,1232.515,503.302,1001.683,510.040,1240.282,595.955
212,939.166,65.560,1219.617,215.270,987.975,400.796,1235.859,505.573,1008.291,510.040,1244.035,601.128
213,939.171,65.560,1219.750,215.270,987.979,400.798,1235.859,507.035,1008.315,510.081,1244.035,604.474
214,939.171,65.560,1219.750,215.270,987.979,402.981,1235.859,507.122,1008.315,512.318,1244.035,605.405
215,939.171,65.861,1219.750,215.461,987.979,405.355,1234.758,507.134,1008.315,519.254,1239.000,608.502
216,938.537,65.991,1218.642,215.988,987.330,409.069,1229.084,507.134,1005.625,520.524,1232.557,608.502
217,938.532,67.029,1216.120,217.016,987.272,409.069,1222.453,507.134,1004.090,522.468,1223.454,608.502
218,935.275,67.029,1214.398,217.059,979.088,410.091,1212.233,507.448,995.834,523.976,1211.360,608.179
219,933.507,66.887,1213.235,217.059,968.210,412.387,1203.268,507.448,980.824,525.398,1198.213,607.872
220,930.841,66.887,1211.316,217.016,954.117,414.912,1191.912,506.686,963.263,527.499,1184.817,603.405
221,928.046,67.029,1209.066,216.695,939.016,415.032,1180.415,505.498,944.897,530.337,1170.628,601.469
222,924.821,67.285,1206.354,216.416,922.911,415.242,1168.204,504.862,923.359,530.337,1155.817,598.865
223,923.695,67.401,1204.582,216.138,906.268,415.242,1158.119,502.151,901.581,530.337,1141.659,594.069
224,917.621,67.401,1202.011,216.138,890.516,415.032,1149.091,497.198,880.724,527.160,1129.287,586.476
225,914.905,67.401,1199.962,216.254,876.645,412.327,1140.116,493.849,861.599,526.463,1118.851,585.991
226,911.653,65.181,1197.674,216.100,863.830,408.536,1133.115,490.745,846.122,524.225,1109.789,581.975
227,911.604,65.121,1195.899,216.254,863.822,408.432,1127.181,490.483,846.084,524.140,1105.414,573.319
228,908.738,64.540,1194.684,216.254,844.921,403.570,1123.709,485.906,826.786,517.596,1099.983,572.449
229,907.697,63.771,1194.684,216.100,841.059,401.990,1123.709,483.471,821.334,513.415,1099.983,569.800
230,907.608,63.611,1194.684,216.002,841.059,401.904,1123.709,481.519,821.334,513.409,1099.983,568.859
231,907.608,63.611,1194.848,215.847,841.059,401.099,1125.379,479.635,821.334,510.776,1103.383,567.514
232,907.608,63.771,1195.720,215.739,841.841,398.387,1131.181,479.635,821.772,510.021,1109.044,564.208
233,908.490,63.822,1196.859,215.728,845.896,397.965,1136.648,479.635,828.703,506.994,1118.629,562.952
234,909.348,64.052,1197.760,215.847,855.542,397.965,1143.767,480.942,838.203,501.516,1128.385,562.952
235,911.044,64.689,1200.543,215.728,864.653,397.965,1152.326,482.812,850.610,501.516,1138.744,562.952
236,913.494,65.624,1202.643,215.717,877.462,397.993,1163.858,483.609,869.115,499.618,1151.984,563.719
237,916.633,65.814,1204.771,215.717,891.727,398.747,1171.924,487.671,883.678,499.618,1165.306,564.823
238,919.024,65.907,1206.621,215.856,906.633,399.597,1182.149,489.922,907.735,504.933,1178.125,567.580
239,922.599,66.228,1209.125,216.029,921.982,399.688,1195.490,492.233,925.269,505.613,1190.597,570.186
240,926.305,66.142,1210.853,216.746,938.126,400.270,1203.792,495.794,944.120,505.613,1206.519,573.200
241,929.226,66.142,1212.533,216.746,953.595,400.388,1212.931,497.901,964.268,507.606,1218.044,580.063
242,932.797,66.258,1214.602,216.746,965.983,400.679,1221.152,500.958,984.942,509.161,1227.707,585.839
243,934.696,66.258,1216.372,215.756,976.285,401.101,1228.519,501.400,996.363,509.161,1233.114,593.481
244,934.731,66.166,1217.699,215.740,976.293,401.103,1231.783,504.108,996.419,509.221,1239.390,598.128
245,938.459,66.166,1219.380,215.493,985.330,401.211,1234.424,505.596,1005.231,511.641,1240.149,601.587
246,939.714,65.738,1219.380,215.493,990.395,402.448,1234.424,506.532,1010.484,513.360,1240.149,604.239
247,939.714,65.738,1219.380,215.493,990.395,404.819,1234.424,507.044,1010.484,515.038,1240.149,607.360
